Infraccio_Codi;Infraccio_Desc_Curta_CA;Infraccio_Desc_Curta_ES;Infraccio_Desc_Llarga_CA;Infraccio_Desc_Llarga_ES;Data_Inici_Vigencia;Data_Fi_Vigencia;Article;Normativa;Import_Nominal_?;Tipus_Infraccio;Punts_A_Retirar;Autoritat
1751;Circular cicle mes 2r C1/C2 per calcada vies/zona prohib;Circular ciclo mas 2r C1/C2 por calzada vias/zona prohib;Circular amb un cicle de mes de dues rodes del tipus C1 o C2 per calcada pervies o zones prohibides;Circular con un ciclo de mas de dos ruedas del tipo C1 o C2 por calzada por vias o zonas prohibidas;2017-07-01;9999-12-31;71.T 3.2d;OCVV;500;M;0;Il.lm./a Sr./a Regidor/a del Districte
1752;Circul cicle mes 2r C1/C2 per zona prohibida veloc inade;Circul ciclo mas 2r C1/C2 por zona prohibida veloc inade;Circular amb un cicle de mes de dues rodes del tipus C1 o C2 per la calcada per vies amb velocitat inadequada;Circular con un ciclo de mas de dos ruedas del tipo C1 o C2 por la calzada con velocidad inadecuada;2017-07-01;9999-12-31;71.T 3.1a;OCVV;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
1753;Cicle mes 2r C1/C2 per zones prohibides en sentit contra;Ciclo mas 2r C1/C2 por zona prohibida en sentido contra;Circular amb un cicle de mes de dues rodes del tipus C1 o C2 per la calcada per vies o zones prohibides en el sentit contrari de la senyalitzacio;Circular con un ciclo de mas de dos ruedas del tipo C1 o C2 por la calzada por vias o zones prohibides en el sentido contario de la senalizacion;2017-09-26;9999-12-31;71.T 3.2d;OCVV;500;M;0;Il.lm./a Sr./a Regidor/a del Districte
1754;Circul VMP/cicle mes 2r A/B/C2 parcs publics veloc inad;Circul VMP/ciclo mas 2r A/B/C2 parque publico veloc inad;Circular amb un vehicle de mobilitat personal (VMP) del tipus A o B o cicle de mes de dues rodes del tipus C2 pels parcs publics, no seguint les vies ciclistes i itineraris si existeiex amb velocidad inadequada;Circular con un vehiculo de movilidad personal (VMP) del tipo A o B o ciclo de mas de dos ruedas del tipo C2 por los parques publicos, no siguiendo las vias ciclistas y itinerarios si existen con velocidad inadecuada;2017-07-01;9999-12-31;71.T 3.1a;OCVV;200;M;0;Il.lm./a Sr./a Regidor/a del Districte
1755;Circular VMP/cicle mes 2r A/B/C2 a zones verdes de parcs pub;Circular VMP/ciclo mas 2r A/B/C2 zonas verdes de parques pub;Circular amb un vehicle de mobilitat personal (VMP) del tipus A o B o cicle de mes de dues rodes del tipus C2 pels parcs publics sobre les zones verdes;Circular con un vehiculo de movilidad personal (VMP) del tipo A o B o ciclo de mas de dos ruedas del tipo C2 por los parques publicos sobre las zonas verdes;2017-07-01;9999-12-31;71.T 3.2d;OCVV;500;M;0;Il.lm./a Sr./a Regidor/a del Districte
1756;Bicicleta/VMP/cicle mes 2r comercial no identificat;Bicicleta/VMP/ciclo mas 2r comercial no identificado;Bicicleta o vehicle de mobilitat personal (VMP) o cicle de mes de dues rodes us activitat economica sense estar identificats;Bicicleta o vehiculo de movilidad personal (VMP) o ciclo de mas de dos ruedas de uso de actividad econonima sin estar identificados;2017-07-01;9999-12-31;71.T 3.1c;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1757;Bicicleta/VMP/cicle mes 2r comercial no inscrit en registre;Bicicleta/VMP/ciclo mas 2r comercial no inscrito en registre;Bicicleta, Vehicle de mobilitat personal (VMP) o cicle de mes de dues rodes us activitat economica sense estar inscrits en el registre que correspongui (en cas de que ho disposi la normativa aplicable);Bicicleta, Vehiculo de movilidad personal (VMP) o ciclo de mas de dos ruedas de uso de actividad econonima sin estar incrito en el registro que corresponga (en el caso de que lo disponga la normativa aplicable);2017-07-01;9999-12-31;71.T 3.1c;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1758;No contractar per/ jurid VMP/CIC lloguer assegur resp civil;No contratar per/jurid VMP/CI alquiler seguro respons civil;No contractar, pers fisica/juridica titulars, (VMP/cicle mes 2 rodes) assegur resp civil terceres person, dels passatg vehic i cobrir indem caracter subsid pels danys/perjud derivats us veh/cicles usuaris als quals cedeixin/lloguin, quan sigui obligatori;No contractar, pers fisica/juridica titulars, (VMP/ciclo mas 2 ruedas) assegur resp civil terceres person, dels passatg vehic i cobrir indem caracter subsid pels danys/perjud derivats us veh/cicles usuaris als quals cedeixin/lloguin, quan sigui obligatori;2017-07-01;9999-12-31;71.T 3.2f;OCVV;500;E;0;Il.lm./a Sr./a Regidor/a del Districte
1760;Circul VMP comercial A/B el guia i mes de 2 person;Circul VMP comerc A/B el guia i mas de 2 person;Circular  amb un vehicle de mobilitat personal (VMP) d'us d'activitat economica del tipus A o B amb mes de 2 persones a mes del guia;Circular con un vehiculo de movilidad personal (VMP) de uso de actividad econonima del tipo A o B con mas de 2 personas a mas del guia;2017-07-01;9999-12-31;71.T 3.1d;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1761;VMP/cicle mes 2r comercial A/B mes 2 person no respectan 14T;VMP/ciclo mas 2r comercial A/B mas 2 person no respecan 14T;(Grups turistics) Circular amb un vehicle de mobilitat personal (VMP) d'us d'activitat economica del tipus A o B amb un maxim de 2 persones i el guia sense respectar els usos i condicions circulacio establertes a l'art 14 ter de l'ordenanca;(grupos turisticos) Circular con un vehiculo movilidad personal (VMP) uso actividad econonima del tipo A o B con maximo de 2 personas y el guia sin respetar los usos y condiciones de circulacion establecidas en el art 14 ter de la ordenanza;2017-07-01;9999-12-31;71.T 3.1d;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1762;Circular mes d'un cicle de mes 2r comercial C1;Circular mas de un ciclo de mas 2r comercial C1;Circular amb un cicle de mes de dues rodes d'us d'activitat economica del tipus C1 amb mes d'un vehicle per sortida;Circular con un ciclo de mas de dos ruedas de uso de actividad econonima del tipo C1 con mas de un vehiculo por salida;2017-07-01;9999-12-31;71.T 3.1d;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
1763;Circular cicle mes 2r comercial C1 no respect art 14T;Circular ciclo mas 2r comercial C1 no respeta art 14T;Circular amb un cicle de mes de dues rodes d'us d'activitat econonima tipus C1 amb maxim d'un vehicle per sortida sense respectar els usos i condicions circulaciomes establerts art 14 ter de l'ordenanca;Circular con ciclo de mas dos ruedas uso de actividad econonima del tipo C1 con un maximo de un vehiculo por salida sin respetar los usos y condiciones de circulacion establecidas en el art 14 ter de la ordenanza;2017-07-01;9999-12-31;71.T 3.1d;OCVV;200;E;0;Il.lm./a Sr./a Regidor/a del Districte
