price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
3300,2,2,TRUE,FALSE,185,apartment,Eixample
1800,2,1,TRUE,FALSE,75,apartment,Ciutat Vella
1400,1,1,TRUE,FALSE,45,apartment,Ciutat Vella
550,1,1,FALSE,FALSE,30,apartment,Ciutat Vella
1500,2,2,TRUE,TRUE,86,apartment,Ciutat Vella
2000,2,2,TRUE,FALSE,90,apartment,Eixample
649,1,1,FALSE,TRUE,44,apartment,Ciutat Vella
1600,3,2,TRUE,TRUE,100,apartment,Sarria-Sant Gervasi
600,1,1,FALSE,TRUE,50,apartment,Gracia
1400,4,2,TRUE,FALSE,176,apartment,Sarria-Sant Gervasi
2800,3,3,TRUE,TRUE,160,apartment,Eixample
2200,2,2,TRUE,TRUE,165,apartment,Sarria-Sant Gervasi
3500,3,2,TRUE,FALSE,150,apartment,Les Corts
1650,2,1,TRUE,FALSE,80,apartment,Ciutat Vella
1100,1,1,TRUE,FALSE,50,apartment,Ciutat Vella
800,2,1,FALSE,FALSE,60,apartment,Sants-Montjuic
680,2,1,TRUE,FALSE,60,apartment,Eixample
750,2,1,FALSE,FALSE,55,apartment,Horta- Guinardo
720,1,1,FALSE,FALSE,33,apartment,Ciutat Vella
845,1,1,TRUE,FALSE,55,apartment,Eixample
890,1,1,TRUE,FALSE,60,apartment,Eixample
675,1,1,TRUE,FALSE,35,apartment,Sarria-Sant Gervasi
1150,1,1,TRUE,TRUE,60,apartment,Ciutat Vella
6000,1,2,TRUE,FALSE,133,apartment,Sant Martí
1540,1,1,FALSE,FALSE,40,apartment,Ciutat Vella
2545,2,2,FALSE,FALSE,120,apartment,Eixample
2500,2,1,FALSE,FALSE,60,apartment,Sarria-Sant Gervasi
2000,3,1,FALSE,FALSE,70,apartment,Eixample
1825,1,1,FALSE,FALSE,56,apartment,Eixample
1820,1,1,FALSE,FALSE,55,apartment,Ciutat Vella
2200,1,1,FALSE,FALSE,55,apartment,Ciutat Vella
3450,2,1,FALSE,FALSE,90,apartment,Ciutat Vella
1440,1,1,FALSE,FALSE,43,apartment,Ciutat Vella
1820,1,1,FALSE,FALSE,45,apartment,Ciutat Vella
2800,4,3,TRUE,TRUE,214,apartment,Sarria-Sant Gervasi
4700,2,2,TRUE,FALSE,97,apartment,Sant Martí
3550,2,2,TRUE,FALSE,185,apartment,Les Corts
650,1,1,TRUE,FALSE,50,apartment,Eixample
1325,1,1,TRUE,FALSE,45,apartment,Eixample
550,0,1,FALSE,TRUE,30,apartment,Eixample
1700,2,1,FALSE,FALSE,55,apartment,Eixample
1600,1,1,FALSE,FALSE,60,apartment,Ciutat Vella
1886,2,1,FALSE,FALSE,60,apartment,Eixample
2994,2,2,FALSE,FALSE,70,apartment,Eixample
1800,2,2,TRUE,TRUE,100,apartment,Sarria-Sant Gervasi
842,3,1,TRUE,FALSE,68,apartment,Horta- Guinardo
1100,1,1,TRUE,FALSE,48,apartment,Gracia
975,1,1,TRUE,FALSE,52,apartment,Ciutat Vella
740,1,1,TRUE,TRUE,50,apartment,Sant Martí
1354,1,2,FALSE,FALSE,55,apartment,Ciutat Vella
1995,3,2,FALSE,FALSE,100,apartment,Eixample
1250,2,1,TRUE,FALSE,65,apartment,Sarria-Sant Gervasi
850,1,1,TRUE,FALSE,35,apartment,Eixample
600,1,1,FALSE,FALSE,70,apartment,Horta- Guinardo
2288,1,1,FALSE,FALSE,65,apartment,Eixample
1250,1,1,FALSE,FALSE,25,apartment,Ciutat Vella
990,2,1,FALSE,FALSE,59,apartment,Sants-Montjuic
1390,1,1,TRUE,FALSE,54,apartment,Ciutat Vella
1950,4,2,FALSE,FALSE,140,apartment,Sarria-Sant Gervasi
1150,3,1,TRUE,FALSE,80,apartment,Eixample
1050,3,1,TRUE,FALSE,80,apartment,Eixample
750,1,1,TRUE,FALSE,49,apartment,Gracia
1210,1,1,FALSE,FALSE,45,apartment,Ciutat Vella
1581,3,2,TRUE,FALSE,80,apartment,Eixample
750,1,1,FALSE,FALSE,32,apartment,Ciutat Vella
825,4,1,TRUE,FALSE,72,apartment,Sants-Montjuic
800,1,1,FALSE,FALSE,50,apartment,Ciutat Vella
1400,2,1,TRUE,TRUE,56,apartment,Les Corts
2300,2,2,TRUE,FALSE,90,apartment,Sant Martí
1700,2,1,TRUE,FALSE,70,apartment,Les Corts
6000,0,1,FALSE,FALSE,290,apartment,Ciutat Vella
2500,3,2,TRUE,FALSE,179,apartment,Eixample
1200,2,1,FALSE,FALSE,65,apartment,Eixample
1800,3,2,TRUE,TRUE,75,apartment,Sarria-Sant Gervasi
800,1,1,TRUE,TRUE,35,apartment,Sarria-Sant Gervasi
779,2,1,FALSE,FALSE,42,apartment,Sant Martí
1000,3,2,TRUE,FALSE,89,apartment,Ciutat Vella
850,3,2,FALSE,FALSE,66,apartment,Ciutat Vella
1200,6,3,TRUE,FALSE,178,apartment,Eixample
800,1,1,FALSE,FALSE,40,apartment,Ciutat Vella
1100,2,1,TRUE,TRUE,62,apartment,Eixample
1250,1,1,TRUE,FALSE,45,apartment,Sarria-Sant Gervasi
590,0,1,TRUE,FALSE,38,apartment,Eixample
990,2,1,FALSE,FALSE,62,apartment,Eixample
3067,3,2,FALSE,FALSE,95,apartment,Eixample
2316,3,2,FALSE,FALSE,80,apartment,Eixample
2030,2,2,FALSE,FALSE,80,apartment,Ciutat Vella
2068,2,2,FALSE,FALSE,75,apartment,Ciutat Vella
1100,3,2,TRUE,TRUE,84,apartment,Les Corts
970,4,1,FALSE,FALSE,91,apartment,Ciutat Vella
1963,2,1,FALSE,FALSE,65,apartment,Eixample
1712,1,1,FALSE,FALSE,32,apartment,Eixample
980,2,1,FALSE,FALSE,65,apartment,Ciutat Vella
