Time	User	ID	Text
Mon Apr 04 20:44:37 +0000 2016	MDDONESCAT	717090521492103169	RT @TradxAbolicion: Y @feminismosenred dándole cancha. #NoEsNuestraRevolucion #lagentnormal33 @MDMujeres #tv3ContraTractaMenors @MDDONESCAT
Mon Apr 04 20:44:33 +0000 2016	vgiadas	717090504362631168	Pois despois de ver #lagentnormal33 só podo sentir orgullo das putas feministas
Mon Apr 04 20:44:15 +0000 2016	AnaMartinGonz	717090429682982913	RT @MDDONESCAT: Tenemos el deber de soñar con un mundo sin prostitución infantil #tv3complicetractamenors #lagentnormal33 https://t.co/n2P5…
Mon Apr 04 20:44:14 +0000 2016	PereSoler	717090423324467201	RT @RedLibreTrata: 4 d'Abril Día internacional contra prostitució infantil! #tv3complicetractamenors @lagentnormal33 #Yonosoycomplice https…
Mon Apr 04 20:44:12 +0000 2016	ROSA_M_IBARRA	717090415959216128	RT @_donesPSC: 10% de "clients" reconeixen que prostitueixen menors. En parlarà @tv3cat?#yonosoycomplice #lagentnormal33  https://t.co/tR74…
Mon Apr 04 20:44:09 +0000 2016	LauraSolerRo	717090402311004160	RT @evagcolell: He de confessar que #LaGentNormal33 d'avui m'ha generat un debat intern important... Un dilluns més, interessantíssim!
Mon Apr 04 20:44:04 +0000 2016	LauraSolerRo	717090382987849732	RT @anna_sase: Molt interessant #lagentnormal33 tot i que avui m'han faltat molts temes per tractar!
Mon Apr 04 20:43:48 +0000 2016	dan_haku	717090313974771712	RT @ocarreras: Un altre enorme #lagentnormal33! Un dels millors programes que es fan avui en dia. "La #prostitucio no es el mateix que la #…
Mon Apr 04 20:43:38 +0000 2016	llorenst	717090271893262336	RT @_donesPSC: #yonosoycomplice #lagentnormal33 RT @Luciasolc: Només donen la veu a les portantveus dels proxenetes https://t.co/JSUTIvJk3c
Mon Apr 04 20:43:30 +0000 2016	quieroserunhada	717090237193838594	RT @ShirleyMcLaren9: La vulnerabilidad se encuentra en cualquier tipo de trabajo @NataliaxFerrari #lagentnormal33 #PutaFeminista
Mon Apr 04 20:43:25 +0000 2016	llorenst	717090218952802307	RT @_donesPSC: #yonosoycomplice #lagentnormal33 RT MDDONESCAT: Los hombres que van de putas no compran sexo, ejercen violencia https://t.co…
Mon Apr 04 20:43:22 +0000 2016	elena_tralala	717090204088188929	RT @Carlota_Marti: L'únic problema de #lagentnormal33 és que sempre es fa curt.
Mon Apr 04 20:43:09 +0000 2016	bertalopezr	717090149633548288	@lagentnormal33 jóvenes!! Que ya tenemos trabajo! #tv3complicetractamenors #MaquillandoLaRealidad #tv3amagalatrata https://t.co/Mbpg7JFsoX
Mon Apr 04 20:43:07 +0000 2016	crismdmujeres	717090141312008192	RT @CATaronja: @MDDONESCAT @lagentnormal33 @BeatrizGimeno1 @EticaA les dones q han sortit no son representatives d lesnenes q hi ha cada di…
Mon Apr 04 20:42:52 +0000 2016	lagentnormal33	717090077957029888	RT @albalaguna81: Molt gran com sempre @lagentnormal33. Clar, directe i sense complexes.
Mon Apr 04 20:42:46 +0000 2016	_donesPSC	717090054770978817	RT @arandapaco: En el dia contra explotació sexual infantil la tele pública emet reportatge sobre prostitució. #vergonya #YoNoSoyComplice #…
Mon Apr 04 20:42:34 +0000 2016	anna_sase	717090002539319297	Molt interessant #lagentnormal33 tot i que avui m'han faltat molts temes per tractar!
Mon Apr 04 20:42:27 +0000 2016	_donesPSC	717089973460156416	RT @imoraleda: Avui dia per lluitar contra prostitució infantil, el pitjor dia per emetre #lagentnormal33 un programa sobre prostitució"vol…
Mon Apr 04 20:42:19 +0000 2016	Cristinabgrd	717089940639711232	Aportacions x l'abordatge prosti: la sacralització patriarcal d la sexualitat femenina i reconeixement o no voluntarietat #lagentnormal33
Mon Apr 04 20:42:18 +0000 2016	TradxAbolicion	717089938362253312	RT @MDDONESCAT: #tv3ContraTractaMenors #lagentnormal33 Solución trata mujeres y menores es dar erechos como ciudadanas no como putas https:…
Mon Apr 04 20:42:16 +0000 2016	MarquesAgnes	717089930493693952	RT @evagcolell: He de confessar que #LaGentNormal33 d'avui m'ha generat un debat intern important... Un dilluns més, interessantíssim!
Mon Apr 04 20:42:09 +0000 2016	_donesPSC	717089897945960449	10% de "clients" reconeixen que prostitueixen menors. En parlarà @tv3cat?#yonosoycomplice #lagentnormal33  https://t.co/tR74491Tyu
Mon Apr 04 20:42:06 +0000 2016	ShirleyMcLaren9	717089886969446400	RT @McFreiheit: la normalització de la prostitució voluntària és una fita per millorar la situació de dones fortes i lluitadores com les de…
Mon Apr 04 20:42:05 +0000 2016	evagcolell	717089880539598853	He de confessar que #LaGentNormal33 d'avui m'ha generat un debat intern important... Un dilluns més, interessantíssim!
Mon Apr 04 20:42:03 +0000 2016	ShirleyMcLaren9	717089875342860293	RT @Dialogosdp: Retweeted La gent normal (@lagentnormal33): "El client ve, es queda, i marxa,  però tu poses les teves normes,... https://…
